Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1691620922,9,GET,/why-hoodoo,0.166667,0.000000,360,360,370,370,370,370,370,370,370,370,370,4,0,360.0,368.6366340002678,335.72418699986883,407.72166199985804,239063.0
1691620922,9,,Aggregated,1.500000,0.000000,360,370,380,380,400,410,410,410,410,410,410,17,0,360.0,306.9280918823685,70.75646899920685,407.72166199985804,210765.29411764705
1691620923,10,GET,/,0.250000,0.000000,400,400,400,400,400,400,400,400,400,400,400,3,0,130.0,200.8407539997279,78.84931399985362,397.0737959998587,250119.66666666666
1691620923,10,GET,/blog,0.250000,0.000000,370,370,370,370,370,370,370,370,370,370,370,2,0,350.0,358.767023999917,345.75470100025996,371.77934699957405,149621.5
1691620923,10,GET,/fastly,0.125000,0.000000,360,360,360,360,360,360,360,360,360,360,360,1,0,363.7862209998275,363.7862209998275,363.7862209998275,363.7862209998275,152595.0
1691620923,10,GET,/services,0.125000,0.000000,390,390,390,390,390,390,390,390,390,390,390,1,0,386.6954129998703,386.6954129998703,386.6954129998703,386.6954129998703,326819.0
1691620923,10,GET,/solutions,0.500000,0.000000,360,380,380,400,400,400,400,400,400,400,400,5,0,360.0,257.82854040007805,70.75646899920685,403.1288370006223,175611.0
1691620923,10,GET,/success-stories,0.125000,0.000000,380,380,380,380,380,380,380,380,380,380,380,2,0,310.16247299976385,346.8564264999259,310.16247299976385,383.5503800000879,186317.5
1691620923,10,GET,/why-hoodoo,0.250000,0.000000,340,360,360,370,370,370,370,370,370,370,370,6,0,340.0,313.86346000029636,88.1414040004529,407.72166199985804,226576.33333333334
1691620923,10,,Aggregated,1.625000,0.000000,360,370,380,380,400,410,410,410,410,410,410,20,0,360.0,296.8287129500368,70.75646899920685,407.72166199985804,206958.2
